City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hobart,AU,-42.8794,147.3294,66.22,59,20,9.22,few clouds
Nikolskoye,RU,59.7035,30.7861,26.8,84,10,6.24,clear sky
Mecca,SA,21.4267,39.8261,76.12,72,0,3.58,clear sky
Sao Filipe,CV,14.8961,-24.4956,78.71,76,100,2.39,overcast clouds
Busselton,AU,-33.65,115.3333,53.89,68,87,20.94,overcast clouds
Abony,HU,47.1899,20.0048,47.12,97,100,6.91,overcast clouds
Hasaki,JP,35.7333,140.8333,63.28,55,92,10.92,overcast clouds
Nome,US,64.5011,-165.4064,35.67,93,100,11.5,light rain
Punta Arenas,CL,-53.15,-70.9167,50.11,57,20,17.27,few clouds
Ribeira Grande,PT,38.5167,-28.7,56.77,71,17,5.99,few clouds
Vestmannaeyjar,IS,63.4427,-20.2734,45.93,85,100,20.85,overcast clouds
Port Alfred,ZA,-33.5906,26.891,63.18,93,100,7.38,overcast clouds
Menongue,AO,-14.6585,17.691,63.34,81,9,4.38,clear sky
Tilichiki,RU,60.4667,166.1,6.94,93,43,6.51,scattered clouds
Orlik,RU,52.5178,99.825,-2.7,89,94,1.36,overcast clouds
Saint George,US,37.1041,-113.5841,48.79,35,0,0.0,clear sky
Calamar,CO,10.2511,-74.9146,76.69,93,98,4.68,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,73.35,81,75,13.0,broken clouds
Castro,BR,-24.7911,-50.0119,51.28,67,0,4.76,clear sky
Bluff,NZ,-46.6,168.3333,58.8,86,97,13.13,overcast clouds
Baykit,RU,61.67,96.37,-19.84,99,97,2.08,overcast clouds
Okha,RU,53.5739,142.9478,22.57,76,100,6.64,overcast clouds
Los Algarrobos,PA,8.5,-82.4333,77.41,94,20,3.44,few clouds
Kajaani,FI,64.2273,27.7285,23.05,93,100,3.44,overcast clouds
Ushuaia,AR,-54.8,-68.3,51.46,43,40,12.66,scattered clouds
Jamestown,US,42.097,-79.2353,31.01,75,100,18.41,overcast clouds
Mahanoro,MG,-19.9,48.8,72.1,93,100,5.86,overcast clouds
Kapaa,US,22.0752,-159.319,82.38,74,0,13.8,clear sky
Rikitea,PF,-23.1203,-134.9692,70.05,91,100,11.7,moderate rain
Ahipara,NZ,-35.1667,173.1667,67.37,68,0,12.28,clear sky
Albany,US,42.6001,-73.9662,34.57,66,62,1.01,broken clouds
Bethel,US,41.3712,-73.414,38.53,64,0,8.05,clear sky
Qaanaaq,GL,77.484,-69.3632,-16.22,71,4,7.31,clear sky
Sitka,US,57.0531,-135.33,39.09,81,0,0.0,clear sky
Kodiak,US,57.79,-152.4072,42.31,93,100,10.36,mist
Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,10,10.0,clear sky
Lebu,CL,-37.6167,-73.65,57.02,94,100,7.67,overcast clouds
Atuona,PF,-9.8,-139.0333,78.28,75,95,15.9,overcast clouds
Barrow,US,71.2906,-156.7887,28.42,86,0,14.97,clear sky
Yar-Sale,RU,66.8333,70.8333,14.23,82,70,21.12,broken clouds
Ostrovnoy,RU,68.0531,39.5131,37.22,74,100,15.01,overcast clouds
Namibe,AO,-15.1961,12.1522,69.3,84,83,4.9,broken clouds
Hilo,US,19.7297,-155.09,82.13,80,0,12.66,clear sky
Chokurdakh,RU,70.6333,147.9167,-11.9,98,100,4.34,overcast clouds
Yeniseysk,RU,58.4497,92.1703,-10.19,98,51,0.96,broken clouds
Tuatapere,NZ,-46.1333,167.6833,56.19,90,99,3.65,overcast clouds
Mataura,NZ,-46.1927,168.8643,58.48,59,92,1.43,overcast clouds
Carnarvon,AU,-24.8667,113.6333,67.5,57,96,19.15,overcast clouds
Punta Cardon,VE,11.6581,-70.215,81.01,80,86,22.5,overcast clouds
Lagoa,PT,39.05,-27.9833,60.51,54,51,5.95,broken clouds
Abu Kamal,SY,34.4506,40.9171,58.44,64,0,3.44,clear sky
Tasiilaq,GL,65.6145,-37.6368,35.76,77,100,6.73,light rain
Tianpeng,CN,30.9866,103.9393,55.87,71,100,1.68,overcast clouds
Vostok,RU,46.4856,135.8833,28.62,92,100,1.61,snow
Tiksi,RU,71.6872,128.8694,-2.24,88,100,5.1,overcast clouds
Langsa,ID,4.4683,97.9683,81.07,80,100,0.58,overcast clouds
Tabou,CI,4.423,-7.3528,77.83,83,27,6.93,scattered clouds
Santa Marta,CO,11.2408,-74.199,82.89,73,75,4.61,broken clouds
Hermanus,ZA,-34.4187,19.2345,53.8,69,90,3.11,overcast clouds
Huarmey,PE,-10.0681,-78.1522,64.58,85,79,6.22,broken clouds
Fort Nelson,CA,58.8053,-122.7002,10.94,87,0,5.75,clear sky
Santa Cruz,BO,-17.8,-63.1667,76.46,69,1,5.75,clear sky
Huadian,CN,42.9633,126.7478,37.47,69,5,7.56,clear sky
Port Hedland,AU,-20.3167,118.5667,82.45,32,0,12.66,clear sky
Bejar,ES,40.3864,-5.7634,48.58,95,99,5.06,overcast clouds
Port Macquarie,AU,-31.4333,152.9167,70.9,54,52,14.47,broken clouds
Pevek,RU,69.7008,170.3133,-6.27,98,100,5.88,overcast clouds
Lasa,IT,46.6166,10.7002,43.02,91,100,0.69,overcast clouds
Koslan,RU,63.4564,48.8989,10.42,90,97,7.87,overcast clouds
Cape Town,ZA,-33.9258,18.4232,59.92,75,0,8.05,clear sky
Ulladulla,AU,-35.35,150.4667,63.61,54,18,9.55,few clouds
Nioro,GM,13.35,-15.75,76.59,35,100,3.78,overcast clouds
Ornskoldsvik,SE,63.2909,18.7153,25.75,100,100,4.61,overcast clouds
Xining,CN,36.6167,101.7667,35.4,75,55,2.73,broken clouds
Udachnyy,RU,66.4167,112.4,-30.46,100,22,3.83,few clouds
Montrose,US,38.4166,-108.2673,20.61,53,59,3.36,broken clouds
Mar Del Plata,AR,-38.0023,-57.5575,60.87,87,0,17.0,light rain
Victoria,HK,22.2855,114.1577,79.03,82,1,5.01,clear sky
Hami,CN,42.8,93.45,36.05,66,83,5.88,broken clouds
Akonolinga,CM,3.7667,12.25,65.89,99,98,2.3,overcast clouds
Sopotnica,MK,41.2947,21.155,49.42,92,22,4.05,few clouds
Senanga,ZM,-16.1167,23.2667,74.16,51,51,4.65,broken clouds
East London,ZA,-33.0153,27.9116,65.26,89,100,1.1,overcast clouds
Marystown,CA,47.1666,-55.1483,42.22,75,100,22.66,overcast clouds
Monte Carmelo,BR,-18.7247,-47.4986,73.2,63,100,6.58,overcast clouds
Sept-Iles,CA,50.2001,-66.3821,26.06,83,100,9.22,overcast clouds
Champerico,GT,14.3,-91.9167,81.39,76,5,3.22,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,75.51,68,20,4.61,few clouds
Touros,BR,-5.1989,-35.4608,78.01,75,12,12.66,few clouds
Egvekinot,RU,66.3167,-179.1667,27.05,99,100,4.45,snow
Miles City,US,46.4083,-105.8406,11.37,79,100,19.57,haze
Bredasdorp,ZA,-34.5322,20.0403,57.6,69,100,1.86,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,74,0,5.99,clear sky
Marsabit,KE,2.3284,37.9899,63.46,86,5,10.96,clear sky
Olhao,PT,37.0286,-7.8411,62.49,90,20,4.61,few clouds
Zeya,RU,53.75,127.2667,19.78,79,22,2.26,few clouds
Matagami,CA,49.7502,-77.6328,14.11,85,100,10.36,overcast clouds
Nouakchott,MR,18.0858,-15.9785,73.33,36,0,10.87,clear sky
Nouadhibou,MR,20.931,-17.0347,73.38,38,0,14.97,clear sky
Roma,US,43.2128,-75.4557,33.82,91,100,4.61,overcast clouds
New Norfolk,AU,-42.7826,147.0587,65.88,44,25,1.99,scattered clouds
Honningsvag,NO,70.9821,25.9704,37.15,93,100,12.66,overcast clouds
Gamboula,CF,4.1178,15.1393,67.84,88,100,2.01,overcast clouds
Kahului,US,20.8947,-156.47,87.82,68,40,6.91,scattered clouds
Kitgum,UG,3.2783,32.8867,65.32,95,60,1.7,moderate rain
Anori,BR,-3.7728,-61.6442,75.31,93,100,2.91,overcast clouds
Kibala,TD,9.1104,18.3463,66.15,88,0,0.0,clear sky
Olafsvik,IS,64.8945,-23.7142,44.83,84,95,14.36,overcast clouds
Avarua,CK,-21.2078,-159.775,80.65,78,75,16.11,broken clouds
Tuktoyaktuk,CA,69.4541,-133.0374,26.6,74,75,2.3,broken clouds
Barabai,ID,-2.5833,115.3833,80.51,82,99,4.68,overcast clouds
Yellowknife,CA,62.456,-114.3525,16.32,67,20,11.5,few clouds
Ferkessedougou,CI,9.6,-5.2,68.86,32,10,2.21,clear sky
Butaritari,KI,3.0707,172.7902,80.92,75,71,13.2,broken clouds
Sambava,MG,-14.2667,50.1667,71.31,92,73,2.91,light rain
Nizhnyaya Omka,RU,55.4338,74.9426,-2.06,99,11,2.21,few clouds
Aksu,CN,41.1231,80.2644,34.59,40,99,1.01,overcast clouds
Mao,ES,39.8885,4.2658,64.96,72,0,8.05,clear sky
Sillanwali,PK,31.8261,72.5398,58.95,30,89,1.48,overcast clouds
Georgetown,MY,5.4112,100.3354,81.9,92,20,5.01,light rain
Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,73,12,2.28,few clouds
Rengo,CL,-34.4167,-70.8667,64.63,56,8,1.01,clear sky
Muros,ES,42.7762,-9.0603,49.68,95,63,6.76,broken clouds
Ryotsu,JP,38.0833,138.4333,57.02,63,5,8.97,clear sky
Likasi,CD,-10.9814,26.7333,61.0,92,7,2.37,clear sky
Nanortalik,GL,60.1432,-45.2371,22.82,72,100,3.91,overcast clouds
Tatarsk,RU,55.219,75.9828,1.35,98,14,2.26,few clouds
Airai,TL,-8.9266,125.4092,77.0,48,25,1.3,scattered clouds
Green River,US,41.5286,-109.4662,20.98,64,100,8.99,overcast clouds
Riyadh,SA,24.6877,46.7219,62.74,27,52,7.38,broken clouds
Zyryanka,RU,65.75,150.85,-18.67,95,100,10.18,overcast clouds
Poya,NC,-21.35,165.15,82.76,63,24,10.25,few clouds
Saint-Francois,FR,46.4154,3.9054,47.64,87,100,11.5,overcast clouds
Faanui,PF,-16.4833,-151.75,79.52,76,17,7.65,light rain
Bom Jesus,BR,-9.0744,-44.3586,72.57,84,81,2.89,moderate rain
San Pedro,PH,14.35,121.0167,85.32,72,75,8.05,broken clouds
Amga,RU,60.8953,131.9608,0.36,94,100,2.93,overcast clouds
Maputo,MZ,-25.9653,32.5892,73.51,85,1,4.54,clear sky
Batticaloa,LK,7.7102,81.6924,74.28,81,100,11.27,overcast clouds
San Angelo,US,31.4638,-100.437,46.89,43,0,4.61,clear sky
Caravelas,BR,-17.7125,-39.2481,72.43,93,100,10.22,moderate rain
Grindavik,IS,63.8424,-22.4338,44.55,100,100,6.91,overcast clouds
Waw,SS,7.7029,27.9953,72.3,36,3,4.56,clear sky
Tigil,RU,57.8,158.6667,22.53,87,100,13.04,overcast clouds
Dikson,RU,73.5069,80.5464,0.05,94,100,23.78,light snow
Port Elizabeth,ZA,-33.918,25.5701,63.1,94,75,3.44,broken clouds
Ilhabela,BR,-23.7781,-45.3581,69.76,77,35,4.18,scattered clouds
Loksa,EE,59.5764,25.7214,32.94,70,72,14.05,broken clouds
Zhenhai,CN,24.2582,118.0905,74.08,81,18,12.75,few clouds
Saskylakh,RU,71.9167,114.0833,-36.2,100,21,3.69,few clouds
Kalmunai,LK,7.4167,81.8167,73.96,81,100,9.6,overcast clouds
Madera,US,37.1666,-119.8343,60.24,48,91,3.58,overcast clouds
Anisoc,GQ,1.8658,10.7689,67.71,99,98,0.38,overcast clouds
Pelym,RU,61.0108,61.9978,-3.59,88,45,4.5,scattered clouds
Usinsk,RU,65.9939,57.5281,19.92,95,100,19.51,light snow
Arraial Do Cabo,BR,-22.9661,-42.0278,71.22,73,0,6.24,clear sky
Waipawa,NZ,-41.4122,175.5153,62.53,88,62,11.32,broken clouds
Lata,PT,40.1629,-8.3327,58.82,96,77,4.0,light rain
Rudsar,IR,37.1376,50.288,53.58,71,1,3.47,clear sky
Padang,ID,-0.9492,100.3543,78.85,78,100,4.23,overcast clouds
Husavik,IS,66.0449,-17.3389,42.84,83,100,9.86,overcast clouds
Mankera,PK,31.3866,71.4407,60.46,30,59,3.56,broken clouds
Avera,US,33.194,-82.5271,40.51,47,9,7.4,clear sky
Beringovskiy,RU,63.05,179.3167,25.74,94,99,2.13,light snow
Brae,GB,60.3964,-1.353,45.16,66,100,33.78,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,68.72,74,15,6.42,few clouds
Tutoia,BR,-2.7619,-42.2744,79.65,80,99,9.48,overcast clouds
Bambanglipuro,ID,-7.95,110.2833,81.75,73,100,0.72,overcast clouds
Bubaque,GW,11.2833,-15.8333,83.26,74,100,10.42,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,38.12,81,100,0.0,overcast clouds
Houma,US,29.5958,-90.7195,46.4,78,0,0.0,clear sky
Hithadhoo,MV,-0.6,73.0833,81.18,75,9,13.82,clear sky
Beira,MZ,-19.8436,34.8389,72.84,75,1,5.48,clear sky
Abilene,US,32.4487,-99.7331,46.94,37,0,9.22,clear sky
Half Moon Bay,US,37.4636,-122.4286,59.67,60,0,11.5,clear sky
Maningrida,AU,-12.0667,134.2667,91.72,50,99,7.38,overcast clouds
Saldanha,ZA,-33.0117,17.9442,51.85,72,78,14.99,broken clouds
Phalombe,MW,-15.8064,35.6507,67.3,72,11,2.21,few clouds
Heihe,CN,50.2441,127.4902,21.78,84,12,9.91,few clouds
Khatanga,RU,71.9667,102.5,-21.87,89,99,9.15,overcast clouds
Palauig,PH,15.435,119.9045,85.69,65,100,0.25,light rain
Cam Ranh,VN,11.9214,109.1591,82.36,78,40,10.36,scattered clouds
Correntina,BR,-13.3433,-44.6367,69.19,91,95,0.92,overcast clouds
Rafsanjan,IR,30.4067,55.9939,61.81,36,100,9.71,overcast clouds
Moundou,TD,8.5667,16.0833,70.93,37,99,4.29,overcast clouds
Vanavara,RU,60.34,102.2797,-21.96,100,55,3.8,broken clouds
Kruisfontein,ZA,-34.0033,24.7314,60.89,76,100,1.63,overcast clouds
Manggar,ID,-2.8833,108.2667,82.45,75,100,2.37,moderate rain
Berlevag,NO,70.8578,29.0864,37.4,93,100,3.44,overcast clouds
Abbeville,FR,50.1,1.8333,53.56,75,87,13.67,overcast clouds
Saint-Augustin,CA,51.226,-58.6502,28.54,96,100,18.57,snow
Labuhan,ID,-6.8844,112.2051,82.44,68,100,8.37,overcast clouds
Chuy,UY,-33.6971,-53.4616,64.13,65,83,3.15,broken clouds
Merauke,ID,-8.4667,140.3333,84.58,73,99,3.91,overcast clouds
Flin Flon,CA,54.7682,-101.865,10.36,81,100,9.55,overcast clouds
Kirkuk,IQ,35.4681,44.3922,55.56,75,0,1.57,clear sky
Fort Wellington,GY,6.4,-57.6,78.98,80,84,7.83,broken clouds
Cochabamba,BO,-17.3895,-66.1568,71.35,28,40,10.36,scattered clouds
Ambilobe,MG,-13.2,49.05,70.9,91,1,3.09,clear sky
San Patricio,US,28.017,-97.5169,54.84,58,100,6.38,overcast clouds
Namtsy,RU,62.7161,129.6658,-9.99,95,100,5.39,overcast clouds
Portland,US,45.5234,-122.6762,45.18,54,0,23.02,clear sky
Sola,VU,-13.8833,167.55,82.38,71,6,9.86,clear sky
Moerai,PF,-22.4333,-151.3333,73.08,68,23,11.1,few clouds
Vaini,TO,-21.2,-175.2,80.76,78,40,11.5,scattered clouds
Longyearbyen,SJ,78.2186,15.6401,24.64,86,100,0.0,overcast clouds
Palora,EC,-1.7,-77.9333,65.57,81,99,2.89,overcast clouds
Ilulissat,GL,69.2167,-51.1,17.62,93,100,4.61,light snow
Sao Domingos,BR,-13.3983,-46.3183,73.53,74,77,3.51,broken clouds
Nchelenge,ZM,-9.3451,28.734,67.69,89,61,3.04,light rain
Deputatskiy,RU,69.3,139.9,-26.73,99,19,2.46,few clouds
Luderitz,NA,-26.6481,15.1594,58.48,63,62,13.22,broken clouds
Cacak,RS,43.8914,20.3497,38.8,85,65,3.4,broken clouds
Abu Dhabi,AE,24.4667,54.3667,74.97,86,53,1.14,broken clouds
Sao Felix Do Xingu,BR,-6.6447,-51.995,73.58,82,97,1.72,overcast clouds
Ouro Preto Do Oeste,BR,-10.7481,-62.2158,76.44,78,93,2.53,overcast clouds
Obudovac,BA,44.965,18.6122,48.25,90,100,2.68,light rain
Hammerfest,NO,70.6634,23.6821,30.65,93,0,2.3,clear sky
Aklavik,CA,68.2191,-135.0107,10.11,81,63,5.37,broken clouds
Maniitsoq,GL,65.4167,-52.9,24.6,67,100,3.85,overcast clouds
Jinka,ET,5.65,36.65,64.51,64,36,1.54,scattered clouds
Dalvik,IS,65.9702,-18.5286,35.53,87,100,10.71,overcast clouds
Glasgow,GB,55.8652,-4.2576,47.8,88,100,5.75,overcast clouds
Auch,FR,43.65,0.5833,53.26,93,4,4.0,clear sky
Arawa,PG,-6.2132,155.5367,84.74,73,94,4.14,light rain
Manono,CD,-7.3,27.4167,66.58,98,84,2.42,broken clouds
Savalou,BJ,7.9281,1.9756,73.83,78,11,0.81,few clouds
Cherskiy,RU,68.75,161.3,-24.11,100,100,5.79,overcast clouds
Bathsheba,BB,13.2167,-59.5167,81.21,74,40,19.57,scattered clouds
Abnub,EG,27.2696,31.1511,57.42,55,0,3.96,clear sky
San Vicente,AR,-26.6167,-54.1333,60.55,69,0,3.11,clear sky
Fare,PF,-16.7,-151.0167,79.93,72,48,4.03,light rain
Bardiyah,LY,31.7561,25.0865,64.83,39,0,19.64,clear sky
Thai Binh,VN,20.45,106.3333,82.22,69,3,4.5,clear sky
Neiafu,TO,-18.65,-173.9833,83.08,78,20,9.22,few clouds
Hofn,IS,64.2539,-15.2082,45.91,94,100,12.77,overcast clouds
Aksha,RU,50.2814,113.2867,23.7,77,100,2.62,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,67.08,63,0,4.0,clear sky
Sugar Hill,US,34.1065,-84.0335,38.25,60,0,4.61,clear sky
Wyndham,US,37.6985,-77.6125,36.99,76,0,0.0,clear sky
Pacific Grove,US,36.6177,-121.9166,58.68,73,0,5.01,clear sky
Mount Gambier,AU,-37.8333,140.7667,71.06,42,99,8.75,overcast clouds
Erenhot,CN,43.6475,111.9767,38.52,36,100,9.28,overcast clouds
Srednekolymsk,RU,67.45,153.6833,-21.86,95,85,10.94,overcast clouds
Peterhead,GB,57.5058,-1.7981,48.6,87,100,35.14,overcast clouds
Odlabari,IN,26.8333,88.6167,67.78,64,0,3.49,clear sky
Kaele,CM,10.1092,14.4508,73.62,28,62,10.13,broken clouds
Talnakh,RU,69.4865,88.3972,1.2,96,100,25.55,light snow
Lazaro Cardenas,MX,17.9583,-102.2,78.04,83,100,4.07,overcast clouds
Ibra,OM,22.6906,58.5334,65.79,77,0,1.19,clear sky
Leningradskiy,RU,69.3833,178.4167,6.64,95,100,14.5,light snow
Adrar,MR,20.5022,-10.0711,67.42,16,0,9.08,clear sky
Katyr-Yurt,RU,43.1701,45.3711,41.95,64,17,2.98,few clouds
Spanish Town,JM,17.9911,-76.9574,80.22,89,20,9.22,few clouds
Necochea,AR,-38.5473,-58.7368,57.33,80,97,9.84,overcast clouds
Nantucket,US,41.2835,-70.0995,46.51,52,0,16.11,clear sky
Staroutkinsk,RU,57.2302,59.3348,1.44,97,6,2.28,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,57.76,100,40,5.03,scattered clouds
Salalah,OM,17.0151,54.0924,75.29,78,20,2.3,few clouds
Klaksvik,FO,62.2266,-6.589,47.32,83,88,35.9,light rain
Thompson,CA,55.7435,-97.8558,3.36,85,75,11.5,broken clouds
Kokhma,RU,56.9349,41.0915,22.37,87,100,14.9,light snow
Salinopolis,BR,-0.6136,-47.3561,79.09,80,83,8.93,broken clouds
Karratha,AU,-20.7377,116.8463,78.21,32,75,14.2,broken clouds
Laguna,US,38.421,-121.4238,58.06,58,0,0.0,clear sky
Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,33,0,8.05,clear sky
Lingao,CN,19.9103,109.6859,80.1,75,2,10.54,clear sky
Guerrero Negro,MX,27.9769,-114.0611,64.17,59,5,8.63,clear sky
Weligama,LK,5.9667,80.4167,76.8,83,74,3.24,broken clouds
Ransang,PH,8.9603,117.5828,83.89,69,100,2.04,overcast clouds
Warrington,GB,53.3925,-2.5802,50.27,94,100,14.97,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,59.4,72,89,8.52,overcast clouds
El Calvario,GT,14.1167,-89.9167,61.68,85,6,6.8,clear sky
Bengkulu,ID,-3.8004,102.2655,80.49,75,100,8.61,overcast clouds
Upernavik,GL,72.7868,-56.1549,10.44,70,48,3.85,scattered clouds
Codrington,AU,-38.2667,141.9667,66.27,59,10,9.98,clear sky
Barillas,GT,15.8036,-91.3158,57.99,97,56,1.72,broken clouds
Balkanabat,TM,39.5108,54.3671,56.5,76,73,5.06,broken clouds
Dalby,AU,-27.1833,151.2667,77.99,19,0,3.0,clear sky
Boddam,GB,57.4667,-1.7833,48.58,87,100,35.75,overcast clouds
Walvis Bay,NA,-22.9575,14.5053,60.1,88,99,6.91,overcast clouds
Itaqui,BR,-29.1253,-56.5531,71.64,44,0,10.0,clear sky
Esperance,AU,-33.8667,121.9,62.91,45,55,11.39,broken clouds
Zafra,ES,38.4167,-6.4167,50.9,89,27,7.43,scattered clouds
Norman Wells,CA,65.282,-126.8329,-0.36,85,20,5.75,few clouds
Saint-Philippe,RE,-21.3585,55.7679,67.59,72,23,3.78,few clouds
Rancho Cordova,US,38.5891,-121.3027,58.05,58,0,3.44,clear sky
Axim,GH,4.8699,-2.2405,77.05,86,72,5.32,light rain
Blagoyevo,RU,63.3667,47.9167,10.78,90,96,6.13,overcast clouds
Janauba,BR,-15.8025,-43.3089,71.33,80,57,6.31,broken clouds
Lipari,IT,38.4674,14.954,63.27,70,6,14.32,clear sky
Alyangula,AU,-13.8483,136.4192,89.35,49,96,3.09,overcast clouds
Porbandar,IN,21.6422,69.6093,75.33,37,0,7.23,clear sky
Los Chiles,CR,11.0333,-84.7167,72.64,98,34,4.27,scattered clouds
Carbonia,IT,39.1672,8.5222,65.05,89,25,16.78,scattered clouds
Bambous Virieux,MU,-20.3428,57.7575,67.21,88,20,6.91,few clouds
Astara,AZ,38.5,48.6667,48.18,60,2,6.93,clear sky
Wanning,CN,18.8003,110.3967,80.69,78,2,9.08,clear sky
Ancud,CL,-41.8697,-73.8203,54.61,96,100,4.0,overcast clouds
Pajapan,MX,18.25,-94.7,68.63,92,83,10.4,broken clouds
Port Blair,IN,11.6667,92.75,77.04,94,40,1.14,scattered clouds
Clyde River,CA,70.4692,-68.5914,-3.77,84,100,9.22,overcast clouds
Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,93,75,10.36,broken clouds
Misratah,LY,32.3754,15.0925,68.83,49,3,8.5,clear sky
Kuryk,KZ,43.2,51.65,46.81,70,6,5.5,clear sky
Genhe,CN,50.7833,121.5167,18.28,85,86,3.15,overcast clouds
Leninskiy,RU,54.2781,37.4558,21.52,90,100,11.48,overcast clouds
Ismailia,EG,30.6043,32.2723,62.62,75,0,1.5,clear sky
Batsfjord,NO,70.6345,29.7185,37.18,87,100,3.44,overcast clouds
Atasu,KZ,48.6814,71.6433,12.74,92,90,6.44,overcast clouds
Brignoles,FR,43.4,6.0667,56.03,84,66,5.99,broken clouds
Port Hardy,CA,50.6996,-127.4199,46.58,57,0,6.91,clear sky
Provideniya,RU,64.3833,-173.3,33.91,93,100,18.01,fog
Athabasca,CA,54.7169,-113.2854,10.81,84,94,7.7,overcast clouds
Manadhoo,MV,5.7667,73.3833,81.79,75,27,9.37,scattered clouds
Sorland,NO,67.667,12.6934,44.46,53,44,9.42,scattered clouds
Rocha,UY,-34.4833,-54.3333,61.11,87,94,2.13,overcast clouds
Bonthe,SL,7.5264,-12.505,77.86,83,100,3.8,overcast clouds
Batagay,RU,67.6333,134.6333,-21.62,88,100,3.62,overcast clouds
Evensk,RU,61.95,159.2333,10.6,96,100,10.58,snow
Alofi,NU,-19.0595,-169.9187,82.29,69,20,9.22,few clouds
Moron,AR,-34.6534,-58.6198,74.97,72,96,12.84,overcast clouds
Amahai,ID,-3.3333,128.9167,86.61,64,97,3.76,overcast clouds
Mahebourg,MU,-20.4081,57.7,67.24,88,20,6.91,few clouds
Zonguldak,TR,41.25,31.8333,53.91,70,100,4.5,overcast clouds
Westport,US,41.1415,-73.3579,41.32,63,0,6.91,clear sky
Cervo,ES,43.6702,-7.4101,52.45,80,45,12.06,scattered clouds
Ampanihy,MG,-24.7,44.75,66.51,92,0,4.27,clear sky
Kingston,JM,17.997,-76.7936,79.75,89,20,9.22,few clouds
Alice Springs,AU,-23.7,133.8833,81.95,44,100,18.41,overcast clouds
